"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"660","1990","140","Richard E. Taylor","Physics","The Nobel Prize in Physics",4000000,6443882,"1/3","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics","1990-10-17","1929-11-02",0
"661","1990","442","Joseph E. Murray","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",4000000,6443882,"1/2","for their discoveries concerning organ and cell transplantation in the treatment of human disease",NA,"1919-04-01",0
"662","1990","443","E. Donnall Thomas","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",4000000,6443882,"1/2","for their discoveries concerning organ and cell transplantation in the treatment of human disease",NA,"1920-03-15",0
"663","1991","276","Richard R. Ernst","Chemistry","The Nobel Prize in Chemistry",6000000,8831149,"1","for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy",NA,"1933-08-14",0
"664","1991","707","Ronald H. Coase","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",6000000,8831149,"1","for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy","1991-10-15","1910-12-29",0
"665","1991","668","Nadine Gordimer","Literature","The Nobel Prize in Literature",6000000,8831149,"1","who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity",NA,"1923-11-20",0
"666","1991","553","Aung San Suu Kyi ","Peace","The Nobel Peace Prize",6000000,8831149,"1","for her non-violent struggle for democracy and human rights","1991-10-14","1945-06-19",0
"667","1991","141","Pierre-Gilles de Gennes","Physics","The Nobel Prize in Physics",6000000,8831149,"1","for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers","1991-10-16","1932-10-24",0
"668","1991","444","Erwin Neher","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",6000000,8831149,"1/2","for their discoveries concerning the function of single ion channels in cells",NA,"1944-03-20",0
"669","1991","445","Bert Sakmann","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",6000000,8831149,"1/2","for their discoveries concerning the function of single ion channels in cells",NA,"1942-06-12",0
"670","1992","277","Rudolph A. Marcus","Chemistry","The Nobel Prize in Chemistry",6500000,9350791,"1","for his contributions to the theory of electron transfer reactions in chemical systems","1992-10-12","1923-07-21",0
"671","1992","708","Gary Becker","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",6500000,9350791,"1","for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour","1992-10-13","1930-12-02",0
"672","1992","669","Derek Walcott","Literature","The Nobel Prize in Literature",6500000,9350791,"1","for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",NA,"1930-01-23",0
"673","1992","554","Rigoberta Menchú Tum","Peace","The Nobel Peace Prize",6500000,9350791,"1","for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples","1992-10-16","1959-01-09",0
"674","1992","142","Georges Charpak","Physics","The Nobel Prize in Physics",6500000,9350791,"1","for his invention and development of particle detectors, in particular the multiwire proportional chamber","1992-10-14","1924-08-01",0
"675","1992","446","Edmond H. Fischer","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",6500000,9350791,"1/2","for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism",NA,"1920-04-06",0
"676","1992","447","Edwin G. Krebs","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",6500000,9350791,"1/2","for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism",NA,"1918-06-06",0
"677","1993","278","Kary B. Mullis","Chemistry","The Nobel Prize in Chemistry",6700000,9208279,"1/2","for his invention of the polymerase chain reaction (PCR) method","1993-10-13","1944-12-28",0
"678","1993","279","Michael Smith","Chemistry","The Nobel Prize in Chemistry",6700000,9208279,"1/2","for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies","1993-10-13","1932-04-26",0
"679","1993","709","Robert W. Fogel","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",6700000,9208279,"1/2","for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change","1993-10-12","1927-07-01",0
"680","1993","710","Douglass C. North","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",6700000,9208279,"1/2","for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change","1993-10-12","1920-11-05",0
"681","1993","670","Toni Morrison","Literature","The Nobel Prize in Literature",6700000,9208279,"1","who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",NA,"1931-02-18",0
"682","1993","555","Nelson Mandela","Peace","The Nobel Peace Prize",6700000,9208279,"1/2","for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new  democratic South Africa","1993-10-15","1918-07-18",0
"683","1993","556","F.W. de Klerk","Peace","The Nobel Peace Prize",6700000,9208279,"1/2","for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new  democratic South Africa","1993-10-15","1936-03-18",0
"684","1993","143","Russell A. Hulse","Physics","The Nobel Prize in Physics",6700000,9208279,"1/2","for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation","1993-10-13","1950-11-28",0
"685","1993","144","Joseph H. Taylor Jr.","Physics","The Nobel Prize in Physics",6700000,9208279,"1/2","for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation","1993-10-13","1941-03-29",0
"686","1993","448","Richard J. Roberts","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",6700000,9208279,"1/2","for their discoveries of split genes","1993-10-11","1943-09-06",0
"687","1993","449","Phillip A. Sharp","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",6700000,9208279,"1/2","for their discoveries of split genes","1993-10-11","1944-06-06",0
"688","1994","280","George A. Olah","Chemistry","The Nobel Prize in Chemistry",7000000,9417195,"1","for his contribution to carbocation chemistry","1994-10-12","1927-05-22",0
"689","1994","711","John C. Harsanyi","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",7000000,9417195,"1/3","for their pioneering analysis of equilibria in the theory of non-cooperative games","1994-10-11","1920-05-29",0
"690","1994","712","John F. Nash Jr.","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",7000000,9417195,"1/3","for their pioneering analysis of equilibria in the theory of non-cooperative games","1994-10-11","1928-06-13",0
"691","1994","713","Reinhard Selten","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",7000000,9417195,"1/3","for their pioneering analysis of equilibria in the theory of non-cooperative games","1994-10-11","1930-10-05",0
"692","1994","671","Kenzaburo Oe","Literature","The Nobel Prize in Literature",7000000,9417195,"1","who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",NA,"1935-01-31",0
"693","1994","557","Yasser Arafat","Peace","The Nobel Peace Prize",7000000,9417195,"1/3","for their efforts to create peace in the Middle East","1994-10-14","1929-08-24",0
"694","1994","558","Shimon Peres","Peace","The Nobel Peace Prize",7000000,9417195,"1/3","for their efforts to create peace in the Middle East","1994-10-14","1923-08-16",0
"695","1994","559","Yitzhak Rabin","Peace","The Nobel Peace Prize",7000000,9417195,"1/3","for their efforts to create peace in the Middle East","1994-10-14","1922-03-01",0
"696","1994","145","Bertram N. Brockhouse","Physics","The Nobel Prize in Physics",7000000,9417195,"1/2","for the development of neutron spectroscopy","1994-10-12","1918-07-15",0
"697","1994","146","Clifford G. Shull","Physics","The Nobel Prize in Physics",7000000,9417195,"1/2","for the development of the neutron diffraction technique","1994-10-12","1915-09-23",0
"698","1994","450","Alfred G. Gilman","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",7000000,9417195,"1/2","for their discovery of G-proteins and the role of these proteins in signal transduction in cells","1994-10-10","1941-07-01",0
"699","1994","451","Martin Rodbell","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",7000000,9417195,"1/2","for their discovery of G-proteins and the role of these proteins in signal transduction in cells","1994-10-10","1925-12-01",0
"700","1995","281","Paul J. Crutzen","Chemistry","The Nobel Prize in Chemistry",7200000,9446598,"1/3","for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone","1995-10-11","1933-12-03",0
"701","1995","282","Mario J. Molina","Chemistry","The Nobel Prize in Chemistry",7200000,9446598,"1/3","for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone","1995-10-11","1943-03-19",0
"702","1995","283","F. Sherwood Rowland","Chemistry","The Nobel Prize in Chemistry",7200000,9446598,"1/3","for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone","1995-10-11","1927-06-28",0
"703","1995","714","Robert E. Lucas Jr.","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",7200000,9446598,"1","for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy","1995-10-10","1937-09-15",0
